comments,label
카키그라도 장착할까요? ㅎ  @snake_choii @shin_jjung__ @is.geunhe @heo._.yum @sujin39 @gimseonhyi2470 @biniibinii_life @parkyurida_,1
양말 좀 받읍시다,1
고고~~,1
@eun_hyering @baedaeyong 모여라,1
🏃🏻🏃🏻🏃🏻,1
ㄱㄱ,1
?,1
🔥,1
Send pic ❤✨,1
🔥,1
🔥,1
와...노랑 최애색인데..😍😍,1
뉴 컬러는 언제 업데이트 되나요!!,1
🔥,1
으.. 까비 샌드ㅠ😢,1
감사합니다 💛,1
강인한 머쓱🥲타드🤭 이모티콘 색깔이랑 똑디 닮은 머스타드스러운 강렬한 노랑이요 😃,1
머스타드!,1
나처럼 깜찍하지만 강인한 머스타드!~♥️,1
머스타드🧡💛!,1
머(슬핏)스타드,1
🔥,1
노랑색🟨,1
머스타드🐥,1
주황색 🟧,1
머스타드😻💛,1
"노랑,머스타드,노란계열💛 @0_en2",1
So beautiful ❤️,1
잘 어울리시는데요?!이쁘네요! 네이더스티도 찰떡입니다 로고가 귀여운!👍,1
레귤러핏도 너무 이쁜데요 😍😍,1
핏 굿입니다 🔥🔥👏,1
너무 잘 어울리시기만 하신데요~~ 👍핏 나이스!!,1
롤업 포인트👏,1
스탠다드한 핏감🔥🔥,1
크 블랙룩🖤🖤핏도 예술이네요🔥👍🏻,1
핏🔥 이쁘기만 합니다.😍🔥🔥,1
핏 넘 깔끔하네요🖤✨,1
레귤러핏도 이쁘네요 ㅎㅎ👏,1
레귤러핏도 잘 어울리시는데요!!,1
레귤러핏..너무 잘 어울리는데요👏👏,1
전혀 어색함 없이 완전 잘 어울리시는데요?! ㅎㅎ,1
🔥,1
얼굴이 궁금해요!! 얼굴 공개는 언제쯤 하실 예정이신가요??😄,1
DM US PIC👉,1
🔥,1
🍀,1
hi i sent dm🤍,1
🍀,1
요 티셔츠도 참 심플하고 예쁘네요😍,1
핏이 예술🔥,1
어우 캐주얼캐주얼한데요?! 잘어울리신다요!!,1
코디 깔끔하십니더👏,1
레귤러핏 데님과 조합이 깔끔하고 멋지네요🔥,1
헐랭 잘어울려영🔥,1
크으 핏이🔥🔥,1
크 오늘도 핏 너무 좋으십니다😍😍,1
요새 캘빈클라인 반팔티가 왤케 예뻐보이죠?! 완전 만족스러운 쇼핑 하셨네요😆🔥,1
캐주얼 핏 좋아요😍😍,1
역시 CK..👍👍,1
오늘 룩 너무 잘 어울리시네용👏👏 화요일 잘 보내셨나요🔥🔥🔥,1
캘빈은 사랑이죠😍,1
정국님이 광고했으면 말다했죵😍🔥,1
🔥,1
I would like to buy do you ship to USA?,1
Ship to USA?,1
🔥,1
싹다👏,1
"올리브카키, 데저트카키 좋아요!",1
아미! 우디!😍😍😍,1
색별로 무지 5 팩 내주면 좋겠어요👏,1
🔥,1
쭈야님 이랑 고양이 너무 잘어울리시는데요 ㅋㅋㅋ 그리고 머리 묶으신것두 너무 예쁘세용~~ 짧은머리 묶는것도 자연스러운 분위기가 있어요 ^^,1
연청에 네이비 컨버스 그리고 귀여운 고양이까지 쭈야님이랑 찰떡 조합인거 같아요😍,1
햇살 맑은 오늘 같은 날 너무 귀여운 티셔츠 입고 오셨네요 스커트까지 넘 잘 어울려요!!!🔥,1
오늘 햇알 넘 좋죠!! 소재 마음에 드는데요😍,1
수수한 느낌의 코디!! 잘 보구가요~☺️,1
🐱 냥이는 반칙이예요 🤣😂🤣😂 너무나 멋진 포인트네요 😍,1
크으~~🙌🙌쭈야님 오오엠엘 반팔티 넘 이쁘고 고양이 넘 큐트 하네오!그리고 청 스커트에 컨버스 느낌까지!캐주얼하고 이쁜 코디 인거같습니당😍찰떡 콩떡입니당🔥,1
이 햇살 저 넘 힘드러유ㅋㅋ😮😮 코숏그래픽 귀욥❤️,1
😽,1
뭐지!! 이 엄청 깜찍한 고양이 포인트는!!!?😍 너무 귀여워여!!!🤩🤩,1
설문 재미있었어요!!ㅋㅋㅋㅋ통계상 고인물 이지만 크린이 할래요😎,1
지나가던 햇수만 10년차 재밌게 보고갑니당😂😂😂,1
좋은 통계네요!,1
머슬업을 하고 못하고???,1
하지만 매년 새로운 동작들이 나오는걸요...ㅋㅋ 작년만해도 x더블언더 나와서 선수들도 못했던데....ㅋㅋㅋ,1
🔥,1
엉니..고인물?..😮,1
고방관 1년차?!,1
이렇대 ㅋㅋ,1
혜지 빼박 고인물?,1
고인물씨,1
나 썩은물,1
Promote it on,1
Promote it on,1
상품 문의는 디엠 보내주세요~,1
편하면서도 기본티로 찰떡인데용😍❤️,1
반팔티 하나쯤은 필수!!,1
휘뚜루마뚜루 입기 좋은티인걸요 😁,1
보풀 적은거 취저!! 여름 티는 재질 중요해요>< 휘뚤마뜔 좋다❤️,1
꺅 예뻐 ! 이런 흰티가 휘뚤 마뚤 입기 쵝오🙌❤️,1
어디든 잘 어울리겠어요✌️✌️,1
항공샷 귀여우어❤️❤️,1
진짜 귀여우시다니깡ㅎㅎ,1
휘뚤 마뚤 체고!!!🔥🔥 마지막 브이도 즇구욬ㅋㅋㅋㅋㅋ✌🏻😜,1
흰티 한장으로 힙하게 코디하기 성공적😎✨,1
예쁘쇼👏👏,1
크.. 심플이즈베스트🔥🔥🔥 역시 최고!,1
너무 이쁜 스타일리쉬한 커플❤️,1
"키차이 너무 ,,설레는거아닌가요💝 자주소통해요‼️😋",1
너무 예쁜 커플이네용😍 반해서 선팔하고가영,1
너무 이뻐용🤍💛 소통하고 싶어서 선팔하구 가용,1
꺄 진짜 워너비커플....어쩜사진도 잘찍으시고 ㅠ ㅠ ㅠ ㅠ ㅠ 넘멋져요❤️,1
"두분다 기럭지 모에오,,💙 따로찍어두 알수잇숴여,,두분 잘어울리는고😖💙",1
운전하는 여자 너무 멋진데용👍 사진도 너무 사랑스럽고 이뿌세용💙💙,1
진짜 이 커플 최고로 예쁜 거 아시됴?!♥️♥️,1
운전연습을 잘혔나 미어캣 등장,1
우왕 두분 짱 잘어울리세요 💙,1
너무 잘어울려 증말...♥︎,1
"비안와서좋은데 너무습해요,, 정말이쁜커플잉에여♥️",1
비가 안 와서 폭염이네요 아이구 두 분 너무 예쁘세요 정말 ◡̈ ෆ,1
우왕 오늘두 환영커플 비주얼 최고👍🏻😍💓,1
ㅋㅋㅋㅋ 뒤쳐졌네 미누,1
르뮈르아니냐,1
유행은 돌고 돈다고~,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
요즘 패피네,1
옷 존예다 솔직히,1
이게 패션이다,1
와우,1
이거 수민이 제주도 귤패션아님?? ㅋㅋㅋㅋㅋㅋㅋ초원이 따라한거야??,1
ㅋㅋㅋ,1
😊,1
사람 얼굴이 우째 이래요,1
머리 …. 난 언제 … 기르지 ?,1
사랑스런 내 그녀들..❤️,1
학생 글 내려 나만 보게,1
왜 어떻게 더 예뻐지세요..?,1
내 애착언니...❤️,1
🙌🏻🙌🏻,1
소두 아카쨩?,1
하울님 역시 멋있어... 하면서 보다가 마지막에 방심한 상태로 이유를 봤더니 심쿵했다구요❤️,1
"비율 찢었따,,,🖤",1
아 댕댕이 넘 귀욤😍,1
완저니 멋지시구🔥🔥,1
인형같애 넘 이쁘다,1
역시 누나야,1
멋쨍이,1
❤️,1
🔥,1
🔥,1
오 넘 힙해요 🔥,1
두번째 사진 개존예네❤️,1
탐나융👗,1
🔥,1
깜찌기넹😍🤍,1
다 어디감,1
우와!,1
노브랜드버거 맛있어요ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈,1
😍🙌😍,1
🔥,1
휴가 너무 즐거워보이시는데요!!🏖️반지같은 레터링이 매력적이네요!! 면도 좋아보이고 심플하면서 이뻐서 어디든지 매치하기 좋아보여요!!✨,1
여름에 흰 티셔츠는 많으면 많을수록 좋은 거 같아요😍😍오늘도 좋은 아이템 소개 감사합니다,1
추억의 오락실🌝,1
프린팅 넘 귀여워요😍💙,1
흰청 너무 잘어울리시네요 ㅎㅎ 피드 하나하나 자연스러운 연출 무드 너무 좋은거 같아요오🤔🤔,1
은은한 링의 형태를 가진 티셔츠라 은은한 포인트로 제격이 티셔츠 같아 너무 이쁜걸요!? 거기에 파랑 맞춤까지 너무 좋네요!!🔥,1
오오 흰티에 데님 핏 너무 좋으십니다! 깔끔란 티셔츠 로고도 이쁘고 너무 잘어울리시는걸요! 😆👍🏻🫶🏻🫶🏻🫶🏻✨✨멋진 아이템 소개 감사해요!,1
오호!! 추억의 오락실!!🔥🔥🔥 힐링 제대로 하셨겠는데요?!?!😆😆,1
티셔츠 깔끔하고 너무 예쁜데요.😃,1
깔끔한 티셔츠에 핏까지😍😍 여름휴가 잘 보내셨나요💙,1
역시 흰청엔 파랑포인트 💙,1
흰티에 데님 너무 시원해보이고 깔꼼한걸요!!🤍🩵,1
앗 프린팅 왜이렇게 귀여운거죠🥹,1
꺄앙✨🫧 🥹요런 깔끔한 포인트있는 흰티 넘 조아용🫧 힌티에 청바지 체고✨🫧,1
볼캡 너무 잘어울리신댜..,1
🫧,1
오디 가시는 길인가요 하울님 !?? 이 세상 힙이 아닌데 말이죠 흐흣 😎👍🔥🔥🔥,1
시크한 하우르🔥저세상 힙,1
모야모야 ㅠㅠㅠ 코디 ㅠㅜㅜ 넘 힙하자나요 ㅠㅠㅠㅠ,1
완전 힙한데요😍😍😍,1
누나 머쩌..,1
🔥🔥🔥🔥와 코디 힙해,1
무릎 빼꼼🤓,1
코디 컬러 조합 이쁘네요! 티셔츠 포인트 딱이네용 🔥,1
딥그린 칼라 이뻐요 토요팅요^^,1
그린티셔츠 넘 잘어울리세요!!😍👍🏻👍🏻,1
우오 스포티하고 색감까지👍🏻💚,1
티셔츠 예뻐요 롤업 포인트도 좋네요😍,1
우오아아 진짜 저 표정 어캐 잘 지으시는거지 졸귀여ㅠㅠㅠㅠ 게다가 초록색 짱 잘 받아,1
러블리~~~~~~~~~~~~~~~🥰😍🤩🥰🥰😍🤩🥰🤩,1
코디이뻐요 👏🔥,1
아💚티도 이쁘고 너무 깜찍하셔용🥹🍀,1
와.색감 쨍하지않고 넘예뿌다 ㅜㅜ 롤업센스 까지 완전 이쁘게 잘입으셨잖아요👏👏👍,1
너무 예쁜데요?! 폰트며 색감이며 완전 취저💚,1
티셔츠 그린 예쁘네요!,1
그린 색감이 이쁘네요 🍀,1
이쁘요~,1
나랑 커플바지다,1
🤍,1
하늘 지리네,1
🔥,1
온니 점점 더 힙해진다아💚💚✨✨ 왤케 이뽀 크 뉴진스 저리가야 이거라구~!~!,1
요런 힙한룩 너무 찰떡이세요❤️,1
박시핏도 넘나 잘 어울리시구용🖤,1
힙한 여니님 무드도 너무 좋타🤍🖤 불금 보내셔영🙌,1
힙하면서 꾸안꾸느낌 넘 됴아효☺️🤍🫶🏻,1
오 너무 깔끔하고 예쁜 티셔츠네요🔥,1
박시한 핏도 세상 예쁘게 소화하시네용! 🤍🖤,1
여니님 T예여 ?!! 프리티✨🤭,1
요즘 남자꺼가 더 이뻐보임ㅋㅋ,1
박시한것두 찰떡쓰❤️,1
힙하네여 증말😮,1
울언니 넘 덥게따아 🥺🤍 나도 요즘은 편한템이 진리야 ㅋㅋㅋ 더워서 꾸미는것도 몬해....🥵🤍,1
여니님 안어울리는게 없다요🫢🖤,1
꺄 박시핏 진짜 넘 예뿌다아🤍 편하기로 정말 최고!!,1
프린팅 넘 맘에 들어요🤍🤍🤍 박시한 핏도 너므 잘어울리셔😍🫶,1
안녕하세요! 스튜디오 구경한번 하세요😆,1
탐나융🍅,1
바다 언제갔어 나랑가야자,1
너무이쁘다 진짜...❤️,1
흰티에 청바지 미쳤지 ~🤦🏻‍♀️🩷,1
이 옷을 사고 취직에 성공했습니다 감사합니다,1
👅,1
티셔츠 포인트로 딱이네요😮,1
DM 한번 확인부탁드립니다‼️,1
교광,1
🔥,1
정상적인 사진 보기 쉽지않네,0
눈 뜬거가,1
ㅋㅋㅋㅋㅋㅋㅋㅋ 욕나오네,0
🔫,1
우아 사람이다,1
크흐 너무 힙하잔항요!! 팬츠도 너무 유니크하고 레드볼캡으로 색감포이트까지 주셔서 너무 멋있다구요🔥,1
엇! 바지 넘 예쁜데요🔥🔥,1
타이다이 포인트 최고닷🔥,1
🔥🔥🔥,1
오 바지 귀엽노....,1
코디대박🔥🔥,1
"반갑습니다~😊😊 부산, 대구, 서울, 제주소식을 전하는 대구정보통,대구모든곳 페이지입니다. [ 물비늘 카페 ]컨텐츠 제작중인데 해당사진 출처남기고 공유가능할까요? 댓글이나 어려우시면 좋아요 눌러주셔도 괜찮습니다. 오늘도 좋은하루 되세요 :) 💛",1
오 티 이뿌당!!😍,1
핏 완전 제취향😍😍💚최근피드 댓글막으신거 반칙입니당🤭🫶🏻,1
헗ㅓㄹ 잠만 초록색 왤캐 찰떡이야ㅠㅠㅠ 그리고 웃는거 왤캐 귀여운건데!!!,1
이제 오버핏티셔츠는 제 몸의 일부가 된기분이에여...😂😂ㅋㅋ 딥그린도 넘나 이쁘고 전 주말에 피방 데이트 햇답니다 ㅎㅎ 와이프 롤 입문시켯어여 ㅎㅎㅎ,1
꾸안꾸 인듯 아닌듯 다크그린으로 예쁜 코디네요🌲나무나무 하십미다 ㅎㅎ,1
초록과 블랙 조합이🖤,1
오버핏 엄청 맛있어요ㅠㅠㅠ녹색이라서 그런지 자연 배경이랑도 너무 잘어울리고그린색 왜이렇게 잘 받으시는거죠!,1
앗 양이님 그린색도 넘 찰떡이셔!  여름 아기나무 같은 느낌 🙌🙌 저도 주말 알차게 보냈습니다!,1
딥그린도 색감 넘 예뻐요!!😆 코디 귀여워요!!🙏🏻 저는 소고기먹고 장어먹곸ㅋㅋㅋㅋ 먹방 찍었네요 ㅋㅋ😂,1
오 초록 배경과 촤르르 어우러지는 티셔츠 색감 존예롭습니다 💚💚 와이드한 실루엣의 스커트와 스니커즈 블랙 조합해주신 센스도 최고신데요 🖤🖤👍,1
그린 코디 이쁘십니다,1
이 귀얌둥인모지이이💚,1
미소가 너무 좋으십니다 🔥🔥,1
그린 색감 넘 이뿌네요😆,1
마지막 웃음 너무 치명적이게 이뿌다...☺️💝,1
넘 상콤하고 귀여우세요!!,1
진짜 귀엽고.. 진짜 이쁘다 폴라님 ✧٩(ˊωˋ*)و✧,1
요런 편안한 무드@너무 찰떡이셔❤️,1
올검포스는 사랑이죠😍,1
블록코어룩도 찰떡 폴라..🫧🥹 넘 례뻐..,1
와 넘 잘어울려용 훔치러 갑니다,1
멋져융,1
하트포인트가 요즘 넘 좋더라구요!!,1
블랙티셔츠 프린팅 넘 이쁘고 모자랑도 잘어울리시네요!👏😍,1
버킷햇 무드 넘나좋은데유😆!!!!,1
티샤스 그래픽 너무 예쁜데요?!?😍,1
🔥,1
엇...버킷햇이...이야...여름 소품으로 딱 좋은 느낌인데요.,1
모자 너무 잘 어울리세요🔥,1
오가프 그래픽 너무 좋네요🔥,1
사랑은 속박?👀❤️,1
상의랑 모자 조합 굿굿👏👏,1
오늘무드 장난아닌데요🔥,1
사진 무드 너무 좋네요!☺️,1
월요팅입니다😂,1
룩 너무 매력있네요~!✨✨,1
색감 미쳤는데요🩷🩷 팬츠랑 의자랑 배경이랑 너무 사랑입니다😍,1
크 퀀도가 핑크랑 이렇게 잘 붙는군요😍,1
코디 너무 이쁘네요😮,1
어우~ 핑크 팬츠 저도 참 좋아합니다,1
쉽지않은 핑크색 바지인데 너무 코디 이쁘게 하셖다!!😍😍,1
역시 남자는 핑크😍,1
코디 색감 너무 예뻐요!!👍🏻😃,1
색감 넘 잘어울려Oㅕ 😍,1
포인트주기 좋아보이는 반팔이네요👍,1
크 컬러감 대박👍👍👍,1
핑크팬츠 넘 색감 이쁜데요💗,1
역시 존잘은 핑크를 입죠.,1
바지 색깔 너무 이쁩니다😍🔥🔥👏,1
아이템 하나하나 너무 탐나는걸요🔥😮,1
❤️😍❤️,1
🔥,1
정말 탐나요,1
오 나 이거 사야겟다,1
핏이 여리여리한게 넘 이쁜데요!!! 채이님 이제 랩실 들어가시는군요 ㅠㅠㅠㅠㅠ 잘 이겨내시길 🔥🔥🔥,1
깔끔하면서도 너무 이쁜 룩이네요🔥,1
깔끔한 룩이네요!😆,1
코디 완전 청순하고 이뻐요👍,1
코디 너무 청순하게 예쁘네!! 잘어울리는거 협찬 잘 받았당🙂✨️✨️,1
동명동이 명동쪽인가여?!😮,1
와우와우와우 코디 너무 좋은데요🔥🔥🔥,1
깔끔하면서 너무 예쁜데 무채색 분위기까지 제대로 챙기셨네요🤍,1
👏👏👏👏,1
코디 청순하시네요 🔥🔥🔥😮,1
청순 여신…🥺🥺🥺,1
❤️,1
🔥,1
#운동소통 #운동소통맞팔 #헬창룩 #헬창코디,1
🔥,1
🙌,1
아이잘먹어 예쁜하은이💙,1
스탈 넘 취저에용😍,1
넘예뿌구용🔥🔥,1
💙,1
너무이뻐요 😍😍,1
신발 모델명 좀 알수있을까요?😍,1
혹쉬 가디건 사이즈가 어떻게되세여~~~??,1
키랑 몸무게 여쭤봐도 될까요??,1
"누구라도 어울리는 코디 : 넓은 어깨, 긴 다리",1
깔끔 끝판왕 쇼핑몰은 여기서🔥,1
아! 어깨운동 하라는 거구나?! 감사합니다..집근처 헬스장 등록할께요,1
😍😍😍,1
남친룩🙂,1
오 이렇게만 입으면 존예로울듯,1
이게 찐 기본,1
이렇게 입ㅇㅈ,1
여기있는거 하나씩 다사셔요,1
아디다스 저거 사야하나ㅎ,1
참고행!,1
멋이ㅣㅅ응데?,1
참고!,1
오빠 입으면 예뿌겟다,1
한영 와이드 슬렉스도 잘어울릴거 갘은뎨,1
거짓말이라고 해주세요....😂😂,1
신발 궁금해요😮😮😮😮,1
바지는 언제 업데이트가 될까요 넘나 기다리고 있습니다😢😢,1
하아 너무 빠른 시간 ..,1
신발정보좀 알수잇을까요????,1
💙,1
코디 댕 예뻐요,1
"시크하면서 섹시해,,,",1
세상에... 너무 믓찐 재원님 외모에 눈이 멀 지경이에요🙈🔥🔥 대학로 가면 재원님 실물 영접 가능한가요...? 썬구리 끼고 갈게요😎✨,1
비율이 다했네여🔥,1
❤️사랑해,1
🖤,1
귀가 예쁘시군요,1
말랐다고 자랑하네,1
슬림핏도 잘 어울리네용,1
섹싀를 입으셔따..👏😳,1
어허 주머니 손 빼,1
ㅋ,1
외경의 자랑.,1
생로랑 입자,1
아니 얜 겨울엔 반팔 올리고 여름에 긴팔 올리네..,1
😍♡🌺👀🌹✌️🙌,1
Lindíssima,1
마스크 쓰셔도 이쁘시네요~ :) 😍👍,1
검정 바지 업데이트 되어있나요?!🥺❤️,1
😄🤩👍👏,1
😍😍😍😍,1
You look so beautiful and amazing in every way 😍❤,1
❤️❤️❤️,1
🔥🔥🔥🔥🔥🔥🔥,1
여쭤볼게 있는데 DM한번 주시겠어요?💓,1
❤️❤️❤️,1
🫠,1
🛍,1
😍,1
한소희..?,1
🌻,1
안뇽하세요~ 바지 슬리생지일까요??,1
가방 너무 이쁘네요 혹시 사이즈랑 구매처 알 수 있을까요? 링크는 글로벌 사이트 같아서요,1
💙,1
➰️,1
내가 좋아하는 노래다 😽,1
🍂,1
여름인데도 정말로 시원하게 느껴지는 바닷가네요.....포즈도 넘 좋습니다ㅎㅎ ♥,1
몸매 무엇......?🤎,1
오 앞머리가 생겼네요?🙊,1
와인색이요❤️,1
흰검 입니다 👏👏👏👏,1
오모오모불랙♡♡♡♥︎♡,1
블랙이요💙💙💙,1
검정이요😍꾸안꾸 느낌 좋아요ㅎ,1
검정이요😍꾸안꾸 느낌 좋아요ㅎ,1
블랙이욘♡,1
검정 .. 🫢🖤 너무 귀여워용 ㅜㅜ 스커트에 같이 입으면 너무 귀여울거 같은...🖤 가을룩 완성! 🐿🖤  @161.105h,1
검정 🙌 귀여워요❤️,1
검정색이요🌞  @danelv90 @ijk_iii @redc.onge,1
날씬해 보이는 핏 너무 좋아요🫶블랙화이트 🤍🖤🤍🖤  @somk0515,1
흰검❤️❤️❤️❤️,1
전 와인컬러요~😍날씬해 보일것 같아요~😂🫰❤️ @dkthd11,1
블랙 🖤,1
브라운이요~ 이미 가을준비! 팔로우 좋아요 꾹꾹  참여합니다  @bodyholic_sierra @brothers_ju,1
🤍,1
🏷,1
넘 이쭈시다😍,1
예뻐여어어❤️❤️❤️,1
"와 지짜 개이뿌네 ,,,,,",1
♥,1
#섹시함😍,1
♡,1
남방이랑니트조끼밑에입을 에이치라인스ㅡ커트 추천요,1
❤️,1
❤️,1
💟,1
뒷태만 나온 사진에 크롭가죽자켓은 언제 업뎃되나요?? 너무 이뻐요ㅜㅜ,1
그레이시소라 안풀리나요??ㅜ,1
카르에랑 다른 핏인가요?,1
그레이 재오픈 없을까요?🥹,1
단추티셔츠 그레이 품절너무빨리됐어요 ㅠ,1
🫶🏻,1
카고 부츠컷 검정은 언제 업뎃인가용?,1
Dm us on,1
DM on  🔥🚀,1
♥,1
❤️,1
😍,1
Pretty af,1
여주인공 재질 😍,1
선그리가 어쩜 이리 잘 어울리나요😍,1
진짜 영화 주인공이다 🥺🩶🖤🖤,1
🥺🖤,1
지지 셐시해🫶,1
내가 소속사였음 당장 가서 명함 줌.,1
외쿡언니 피드인줄 알아쫘나 나 .. 너무 예뿌댜..😍❤️,1
가십걸 🤍,1
NY city girlll ❤️‍🔥❤️‍🔥,1
ㅠ,1
Send Your Pic👉,1
Wow 🤩 send it on,1
DM iT  🇺🇸4M+,1
🌿,1
🖤,1
🏷️,1
🏷,1
✨,1
세투 넘 예뿌다요ㅠㅠ,1
🤍,1
:-),1
저는 개인적으로 블랙 스트라이프 디자인이 맘에 들어서 소장했어요 :),1
🤍,1
🤍🤍🤍🤍🤍,1
AHHHHH SO PRETTY,1
예쁘당 내꼬 🤍,1
Perfect morning view = 지원이🥹🤍🤍,1
이 점프슈트 넘 예뽀댜 언냐😍❤️❤️,1
화이트 찰떡 🦢🤍🤍,1
"최고다 진짜.,,🥺🤍",1
아요예쁘네🧡🧡🧡🧡,1
Goddess 😍,1
공주야😮❤️,1
뷰가 눈에 안들어와🥹🤍🤍,1
구경하고 가요,1
디엠 확인 부탁드립니다~:)!!,1
Wow 🤩 send it on,1
😍,1
❤️❤️,1
❤️,1
🏰,1
뷔스티에 넘 귀여워요❤️❤️,1
우왕 넘 기여워요🎀,1
리본 디테일 쏘큩..💝,1
역시 리본 디테일 예뿌네용💕,1
리본 디테일 넘 좋네요👍,1
🎀,1
이거 넘 귀엽더라구요💗💗,1
헉 너무 귀여운 리본니트탑..🤍,1
아이보리 리본탑 탐나요•••🤍,1
오모나 넘 귀여운 니트 탑…🎀💖,1
넘넘 귀여운 리본 뽀인뜨!!🎀,1
후기가 많던데 저도 언제 보러갈래영🙌,1
오메 음식 조심.. 여름이라 더 그래요😢,1
비율 너무 예뻐용 ✨👍🏻👍🏻,1
올블랙 멋지네요 🔥,1
영화 보러 가야겠어요😆,1
비율 미쳐따🩵🤍,1
비율최고🤩🤩🤩,1
더워서 그럴수도 있겠어요😮,0
Love it 🖤 DM,1
🫧,1
이런 내용 많이 읽고 싶어요~ 선팔했어요~,1
So so beautiful 😍😍😍😍,1
Lucky date! You look beautiful,1
나이번주 붓산가는데에ㅠㅠㅠ❤️,1
진짜 핫하자낭🤭🫶🏻,1
❤️,1
원피스가 빵디했네!!!!,1
Hello from Australia 🔥🔥,1
왕 완벽라인 👏👏👏,1
예뻐요 😍,1
"빵디,,❤️보고시퍼",1
초대해주새오.,1
so cute,1
이뻐죽겄어🫶🏻🫶🏻,1
Too bad I don't live in Korea,1
#입기좋아요😎,1
🪧,1
화이트스커트 어디든 잘 어울릴거같아요🤍✨️,1
앤커먼 가을 무드❤️..,1
잘 어울리세요,1
💙,1
"코디도 너무 예쁘고, 비율도 너무 좋으세요👏 안녕하세요, 삼남매맘이예요~ 😍 소통하고 싶어 선팔했어요 ~ 소통하고 지내요❤️",1
핏이 아주 그냥🫢👍 비율이 왤케 좋으세요💛,1
우왓기럭지가 넘부럽습니다😍,1
오~~~~😍😍😍 아름다움 한도초과입니다 😍😍😍너무너무 멋지네요 아웅 최고중에 최고최고입니다 👍👍👍👍👍👍🥰🥰🥰😍😍😍 울이쁜님 늘 건강하시고 행복하세용 🥰🥰🥰😍😍😍🙏🙏🙏,1
핏이 👍👍,1
와 넘 이쁘시네요 😲😲,1
안드래도 기신데 부츠컷에 더더 길어보이는 모델핏😍😍😍,1
앗.. 이 사진보니 핑크도 잘 어울리신다.. 역시 결국은 패완얼😍,1
🐤,1
진짜 챈이님 거울샷 맛집🔥,1
I love your stylee,1
this is your 💐,1
거울샷 맛집 !!,1
🔥🔥🔥🔥🔥🔥🔥🔥,1
Very yang jeongin coded.,1
피드가 제 스타일인데요?,1
❤🙌,1
